Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
IL18,GLS,GABRA5,LDB3,KCNJ2
IL33,GLUL,GABRB2,LDLR,KCNJ8
IL6ST,CSTA,GABRG2,P3H4,KCNK5
IMMT,GMFG,GABRG3,LGI3,KCNMB1
IMPA2,GMIP,GAD1,LGR5,KCNQ1
IMPG2,GMPR,GAD2,LHFPL3,KCNRG
INCA1,GNA15,GALNT9,LIG1,KCP
INO80D,GNGT2,GALNTL6,LIMS2,KCTD10
INSIG1,GNPDA1,GALR1,LINGO3,KDR
INTU,GNS,GALR2,LIX1L,KIF26A
IQCD,GOLM1,GAP43,LLPH,KITLG
IQCK,LILRB4,GARNL3,LMCD1,KLF11
IQUB,GP9,CASTOR2,LMNB1,KLHL4
IRS2,GPAT2,GBX2,LMO1,KLRG1
ITGA2,GPATCH3,GCA,LNX1,KTI12
ITGA6,GPNMB,GCGR,LOX,LALBA
ITGA7,ADGRG5,GDA,LPAR3,LAMA1
ITIH3,GPR132,GDAP1,ADGRL3,LAMA4
ITM2C,GPR137B,GDAP1L1,LPO,LAMA5
ITPKB,GPR157,GDF5,LRFN2,LAMB1
ITSN1,GPR18,GDI1,LRRC17,LAMB2
IVD,GPR183,GDNF,LRRC42,LAMC1
IYD,GPR34,GDPD1,LRRC4C,LBP
JAK1,GPR35,GEMIN7,LRRC8B,LDHA
JAM2,GPR65,GFRA4,LRRN1,LDLRAD3
JUN,C5AR2,GHSR,LRRN3,LEF1
KALRN,GPR84,GIPC2,LRRTM1,LEPR
KANK2,GPSM3,GIPR,LRRTM3,LIMS1
KBTBD11,GPX1,GJD2,LRRTM4,LIPC
KCNC4,GRAMD1A,GLB1L2,LSAMP,LIPT2
KCNE5,GRB2,GLCE,LTK,LMBR1
KCNJ10,GRN,GLE1,LUM,LMO2
KCNN3,GSDMD,GLIS1,LYPD1,LNX2
C5orf15,GSG1,GLOD5,LYPD3,LOXL2
KCTD14,GUCA1A,GLRA2,LYPD6,LOXL4
KCTD5,GUSB,GLRA3,MACROD2,LPAR6
KDM5D,HLA-DQA1,GNAQ,MAFA,ADGRL2
KIDINS220,HLA-DMB,GNAZ,MAG,LRP8
KIF18A,HLA-DRA,GNG2,MAGEH1,LRRC18
KIF1B,HLA-DRB5,GNG3,MAGI2,LRRC32
KIF1C,HLA-DOA,GNL3L,MAL,LRRC55
KIF24,HLA-DOB,GNRH1,MAP1A,LRRC8C
KIRREL2,HLA-E,GOLGA7B,MAP1LC3B,NAA38
KLF15,H6PD,GPC1,MAPK8IP1,LSR
KLF4,HAAO,GPR101,MAPKAP1,LTA4H
KLHL25,HAVCR2,GPR12,MARVELD3,LTBP4
KRTAP7-1,HCK,ADGRA1,MATN1,LUZP1
L2HGDH,HCLS1,GPR135,MATN2,LY6G5C
L3HYPDH,HCST,GPR139,MATN4,LY75
L3MBTL3,HDC,GPR149,MB21D2,LYPLA1
LAMA2,HEATR5A,GPR151,MBNL2,LYSMD3
LATS1,MROH1,GPR173,MBP,LZTS1
LCA5,HEBP1,GPR21,MC4R,MAGIX
LCAT,HERPUD1,GPR22,MC5R,MALL
LCLAT1,HEXA,GPR26,MCF2,MALT1
LDOC1,HEXB,GPR27,MCM10,MAMSTR
LENEP,HFE,GPR52,MCM5,MAN2A1
LENG8,HGSNAT,GPR6,MCM6,MANSC1
LENG9,HK2,GPR61,MDK,MAOA
P3H1,HK3,ADGRG2,MDM1,MAP4K2
LGALS12,HLTF,GPR83,ME3,MAPK12
LGALS4,HMGA1,GPR88,MEGF11,MARVELD1
LGALSL,ARHGAP45,GPRASP1,MFAP4,MARVELD2
LGI4,HMOX1,GPRIN1,MICAL3,MBD2
LGR4,HP,GPRIN3,MICALL1,MECOM
LGR6,HPGD,GPSM1,MIF4GD,MEF2A
LHCGR,HPGDS,GRAMD1B,MINK1,MEGF6
LHFPL6,HPN,GREB1L,MKX,MEOX1
LIFR,HPS4,GREM2,MMP15,TLNRD1
LIMCH1,HPS6,GRIA1,MMP16,MFSD2A
LIMD1,HPSE,GRID2IP,MMP17,MFSD6L
LINGO1,HRH2,GRIN1,MMP23B,FLVCR2
LIPG,HS1BP3,GRIN2A,MOBP,MGP
LIPT1,HS6ST1,GRIN2B,MOG,MGST2
LIX1,HSD17B1,GRIN2D,ATP5MPL,MICB
LONRF3,HSF2BP,GRIP2,MPZ,MIPOL1
LOXL1,HSPA1A,GRM1,MRGPRF,MRTFB
LPIN3,HSPA1L,GRM2,MRPS18B,MLKL
LPP,HSPB3,GRM7,MSC,AFDN
LRCH3,HTATIP2,GRM8,MTAP,MMP25
LRIG1,HTRA2,GRPR,MTMR7,MMP28
LRP4,HVCN1,GSC,MYBL1,MMRN1
CARMIL1,ICAM1,GSE1,MYBPC1,MMRN2
LRRC23,ICOS,GTF2E1,MYCL,MOGAT2
LRRC38,ICOSLG,GUCY1A2,MYLK3,MOSPD1
LRRC52,ID2,GXYLT2,MYO1D,MPP1
LRRC8A,IDH2,H1-10,MYRF,MPP7
LRRK2,IDUA,HAS3,MYT1,MPRIP
LRTM2,IER3,HAUS3,NAP1L5,MSMP
LTBP1,IER5,HCN1,NAV2,MSRB3
LXN,IFI16,HCN3,NCALD,MSX1
LYRM4,IFI30,HCN4,NCAM2,MTFR1
MAGT1,IFI35,HCRTR2,NCEH1,MTMR6
MAMDC2,IFNB1,HDGFL3,NDRG1,MTUS1
MAMDC4,IFNGR1,HDX,NECAB2,MUC13
MAOB,IFNGR2,MROH7,NEFL,MUSTN1
MAP2,IGSF6,HECW1,NELL2,MYCT1
MAPK4,IKZF1,HELLS,NEO1,MYH10
MARS2,IL10,HEXIM2,NEU4,MYL12A
MASP2,IL10RA,HFM1,NEUROG2,MYL4
MAST4,IL12B,HIRIP3,NFASC,MYL6
MAVS,IL16,HMG20A,SAPCD1,MYL9
MBOAT2,IL17RA,JPT1,NGB,MYLK
MCC,IL1A,HOMER2,NHSL2,MYLPF
MCEE,IL1B,HOOK1,NINJ2,MYO1B
MDM4,IL1R2,HOOK2,NKAIN1,MYO1E
MDN1,IL1RL1,HPCA,NKX2-2,MYOF
MED12,IL1RL2,HRH3,NKX2-8,N4BP3
MED12L,IL1RN,HS3ST5,NKX6-2,NAALAD2
MED7,IL21R,HS3ST6,NLGN3,NAMPT
MEGF10,IL27,HS6ST3,NMNAT2,NCAPH
METTL11B,IL2RB,HSPA12A,NMRAL1,NCK1
MFAP3L,IL4I1,HTR1A,NOB1,NDUFA4L2
MFGE8,IL4R,HTR1B,NOL3,NET1
MGA,IL6R,HTR1D,NPSR1,NID1
MGST1,IL7R,HTR1F,NPTX2,NID2
MICAL1,ILDR1,HTR2C,NRDC,NLRC3
MICALL2,INPP4B,HTR3A,NRG2,NME2
MID1IP1,INPP5D,HTR7,NRTN,NMI
MIER3,IP6K3,HYLS1,NTN1,NOD1
MKS1,IRAK2,ICA1L,NUDT17,NODAL
MLC1,IRAK4,IDS,NUDT18,NOMO1
KMT2C,IRF1,IGF1,NUDT8,NOS2
MMAB,IRF4,IGF2BP2,NUF2,NOS3
MMD2,IRF5,IGF2R,NUP210,NOSTRIN
MMP14,IRF8,IGFBPL1,NXPH1,NOTCH4
MORC3,ACOD1,IGSF3,ODF3L2,NOTUM
MPC1,ISCU,IGSF9,OLFM2,NOX4
MPDZ,ISG15,IL12A,OLIG1,NOXO1
MPP5,ITGAE,IL1RAPL2,OLIG2,NPM1
MPP6,ITGAL,INA,OMP,NPR1
MRAS,ITGAM,INCENP,ONECUT2,NPR3
MSI2,ITGAX,ING1,OPALIN,NR1H3
MSX2,ITGB2,INHA,OPCML,NRBP1
MAP7D3,ITGB3,INPP5F,OSBPL6,NRIP1
MTERF1,ITGB5,INPP5J,OTUD7B,NRP1
MTERF4,ITPKC,INSL5,PACS2,NSA2
MTHFD1,ITPR3,INSM1,PANK3,NSMCE1
TESMIN,ITPRIPL1,INSM2,PAPSS1,NT5DC1
MTM1,JAK3,INSRR,PARVB,NUBPL
MTMR11,JDP2,IPCEF1,PBK,NUDT14
MTX3,JUNB,IQCB1,PCBD1,NUP37
MMUT,JUND,IQSEC3,PCBP4,NXN
MYH11,KCNA7,IRS1,PCDH15,OAS1
MYH14,KCNAB1,IRX2,PCDH20,OCLN
MYH15,KCND1,ISL1,PCDH7,ODC1
MYH6,KCNK12,ISLR,PCDHB2,ODF3B
MYLK2,KCNK6,ISLR2,PCDHB11,OFD1
MYO10,KCNN4,ISOC1,PCDHB4,OGN
MYO19,KCTD12,NMRK2,PCDHGB6,OR2AT4
MYO6,KDM6B,ITGBL1,PCMTD2,OR2V1
MYOM3,KHK,ITPKA,PCNX3,OSBPL9
MYRIP,KIF15,JAKMIP1,PCOLCE,OSMR
NAA16,KLHDC8B,JPH4,PCSK1N,OSTC
NACC2,KLHL36,KAT5,PCYT2,P2RY14
NADK,KLHL38,KAZALD1,PDCD4,PAK1IP1
NADK2,KLRB1,KCNA4,PDE4B,PALMD
NAPRT,KLRD1,KCNB2,PDGFRA,PAPLN
NAT2,KRT31,KCNC1,PDLIM2,PAQR5
HYAL1,LACC1,KCNC2,PDZRN4,PARD6G
NAT8,LACTB2,KCNG1,PELI1,PARP9
NCAM1,LAG3,KCNG3,PHF12,PAWR
NCAN,LAIR1,KCNH1,PHF6,PCDH1
NCKAP5,LAMP2,KCNH4,PHLDA3,PCDH12
NDE1,LAPTM5,KCNH7,PHLDB1,PCDH19
NDP,LASP1,KCNIP2,PHOSPHO1,PDCD10
NDRG2,LAT,KCNIP4,PID1,PDE2A
NEK8,LAT2,KCNJ11,PIGQ,PDE5A
NEXN,LBX1,KCNJ3,PIGZ,PDE7B
NFXL1,LBX2,KCNJ5,PIK3R3,PDGFD
NGEF,LCN2,KCNK9,PINK1,PDIA5
NHSL1,LCP1,KCNMB2,PKD2L1,PDLIM1
NIPAL1,LCP2,KCNQ2,PKIA,PEAR1
NLRX1,LDB1,KCNQ5,PLAAT3,PECAM1
NMB,LDHB,KCNS1,PLCB1,PGLYRP1
NME7,LEFTY1,KCNS2,PLEKHA1,PGM1
NOTCH1,P3H2,KCNT1,PLEKHB1,PGM5
NOTCH2,LFNG,KCTD16,PLEKHH1,PHACTR2
NOTCH3,LGALS1,KCTD8,PLEKHM1,PHACTR4
NPAS2,LGALS3,KDM2B,PLEKHN1,PHF7
NPAS3,LGALS3BP,KDM4A,PLIN3,PHLDB2
NPFF,LGALS8,KDM4B,PLK1,PIK3R6
NPHP3,LGALS9B,KDM5A,PLP1,PIP5K1A
NPHS1,LGMN,KDM5B,PLXNB3,PIP5K1B
NPS,LIF,KHDC4,PNLIP,PIR
NQO1,LILRA5,KIAA1109,PODN,PKN3
NR1D1,LILRB3,KIF11,POLG,PLA1A
NR2E1,LIMD2,KIF17,PLPP4,PLA2G2F
NR2F1,LIMK1,KIF21B,PPFIA3,PLEKHG5
NR3C2,LIPA,KIF22,PPFIBP1,PLEKHH2
NR4A1,LIPH,KIF4A,PPFIBP2,PLK2
NR4A2,LITAF,KIF5C,PPP1R14A,PLP2
NR4A3,LPAR5,KIFC2,PPP1R14C,PLS3
NRARP,LPCAT2,KISS1R,PPP1R16B,PLTP
NRCAM,LPCAT3,KIT,PPP2R3A,PLVAP
NRXN1,LPXN,KLC2,PPP3R2,PLXND1
NSDHL,LRCH1,KLF12,PPP4R4,PNPLA6
NTRK3,LRCH4,KLF8,DESI1,PNRC2
NTSR2,IRAG2,KLHDC8A,PRC1,POLK
NUDT12,LRP5,KLHL1,PRELP,POLR2K
NUDT19,LRRC25,KLHL12,PRICKLE1,POMC
NUDT2,LRRC3,KLHL14,PRIM1,POMP
NUDT7,NRROS,KLHL29,PRIM2,POP5
NUP93,LRRC39,KLHL33,PRKCB,POU2AF1
NVL,LRRFIP1,KLHL34,PRKCQ,PLPP6
NWD1,LRRK1,KMT2A,PRKG1,PPEF1
OAT,LRWD1,KMT2B,PRKG2,PPIC
ODF2L,LSM10,KRT73,PROKR1,PPM1J
ODF3,LSM5,KRT79,PRR11,PPP1R13B
TENM3,LSP1,KSR1,PRR16,PPP1R2
OLFML1,LTB,KSR2,PRR18,SLC66A2
OLFML2A,LTB4R,L1CAM,PRR5L,PRAMEF8
OR2H2,LTC4S,L3MBTL1,PRSS41,PRCP
OPLAH,LTF,L3MBTL4,PRSS50,PRELID2
OPTC,LY6D,LAMA3,PSIP1,PREP
OSR2,LY86,LANCL2,PSRC1,PREX2
OTX1,LY9,CERS6,PSTPIP2,PRICKLE3
OVOL1,LYL1,LEFTY2,PTER,CAVIN3
OXA1L,LYN,LGALS7,PTGER2,PRKCH
OXNAD1,LYVE1,LGI1,PTK7,PRKD2
P2RX6,LYZ,LGI2,PTOV1,PRND
P4HA2,MAF,LHFPL1,PTPDC1,PROCR
P4HA3,MAFB,LHFPL4,PTPRO,PROM1
PABPC4L,MAN1C1,LHFPL5,PUS7,PROP1
PACSIN3,MAN2B1,LHX1,PUS7L,PRRG2
PALLD,MAN2B2,LHX5,PVALB,PSMA8
PAMR1,MANBA,LHX6,PYCR1,PSMC3IP
PAPSS2,MAP2K3,LHX8,QDPR,PSORS1C2
PAQR4,MAP3K14,LHX9,QPCT,PTGES
PAQR6,MAPK13,LIMK2,R3HDM1,PTGFRN
PAQR7,MAPK14,LIN28B,RAB27B,PTGIS
PAQR8,MAPKAPK2,LINGO2,RAB33A,PTGS2
PARD3B,MAPKAPK3,LMNA,RAB37,PTPN12
PARP12,MATK,LMTK3,RAB39B,PTPRB
PARP3,MBNL1,LMX1A,RAB4A,PTPRG
PARVA,MCOLN2,LONRF1,RABGAP1L,PTPRK
PAX4,MED11,LONRF2,RACGAP1,PTPRM
PAX6,MEF2C,LPCAT4,RAD51,CAVIN1
PBXIP1,METRNL,LPGAT1,RAD54L,RAB11FIP1
PCDH10,METTL7A,ADGRL1,RALGPS1,RAB12
PCDHGC5,MFSD11,PLPPR3,RAP1GAP,RAB13
PCSK9,MFSD5,LRCH2,RAP1GAP2,RAB42
PC,MGAT1,PIDD1,RAP2A,RAB29
PDE1B,MGAT2,LRFN5,RAPGEF1,RAD51AP1
PDE3A,MGMT,LRIG3,RAPGEF4,RAD51B
PDE9A,MKNK1,CARMIL3,RASGRF1,RAI14
PDGFC,MKNK2,LRRC24,RASL12,RALY
PDGFRB,MLEC,LRRC26,RCN1,RAMP2
PDK4,MLLT6,LRRC3B,RECQL,RAP1B
PDLIM5,MLPH,LRRN4CL,RFC3,RAPGEF5
PDP2,MLXIPL,LSM11,RFTN1,RAPGEF6
PDPN,MMP12,LSM14B,RGS6,RASD1
PDSS1,MMP19,LUC7L,RHBDL2,RASGRP3
PDYN,MMP9,LY6G6C,RHOU,RASIP1
PDZD11,MNT,LY6H,RHPN2,RASSF1
PDZRN3,MOB1A,LYPD6B,RICTOR,RASSF3
PEAK1,MOB3C,LYRM7,RIMBP3,RASSF9
PER3,MOGS,MAB21L1,RIPPLY2,RBMS2
PEX2,MOV10,MAB21L3,RLBP1,RBP1
PFKM,MPEG1,MAD2L1,RND2,RBP7
JADE1,MPI,MADD,RNF122,RBPMS
PHF21B,MPO,MAGEE1,RNF128,RD3
PHGDH,MRC1,MAGEL2,OBI1,RDM1
PHKA1,MRGPRX3,MAL2,RNF220,REC8
PHKB,MS4A6A,MAML3,RNF43,REM1
PHKG1,MS4A7,MAP3K12,RNF7,RET
PHYHIPL,MSH5,MAP3K15,ROCK1,RGL1
PIGM,MSN,MAP3K4,RPRM,RGS12
PIKFYVE,MSR1,MAP3K9,RRAS2,RGS3
PIPOX,MAP1S,MAP4K3,RRM1,RGS5
PKD2,MTHFR,MAPK8,RRM2,RHOBTB1
PKDREJ,MTHFS,MAPK8IP2,RSAD2,RHOC
PKP2,MTR,MAPK9,RTKN,RHOD
PLA2G3,MVP,MAPT,RUNX2,RHOJ
PLA2G5,MXRA8,MARCHF11,RXRG,RIPK1
PLA2G7,MYADML2,MARCHF4,RYR3,RIPPLY3
PLAGL1,MYBPC3,MARCHF9,S100A1,RMND5B
PLCB3,MYBPH,MARK1,S100A13,RNASEH2C
PLCD4,MYC,MAST1,S100A14,RNF144B
PLCH1,MYD88,MBLAC2,S100A16,RNF183
PLD2,MYH9,MCHR1,S100A3,RNF19A
PLEC,MYL2,MCTP1,S100A4,ROBO4
PLOD2,MYLIP,MCTP2,S1PR5,ROCK2
PLS1,MYO18B,MDGA1,SAMD4B,RPAP3
PLSCR1,MYO1C,MECP2,SAPCD2,RPF1
PLXNB1,MYO1F,MED10,SCD,RPH3AL
PLXNC1,MYO1G,MED14,SCEL,RPL17
PM20D1,MYO7A,MEI4,SCFD2,RPL23
PMM1,MYOM1,MESP1,SCN1A,RPL27
POLR3G,N4BP2L1,MESP2,SCRG1,RPL31
POMT1,NAAA,MET,SDC3,RPL35
PON2,NAB2,MEX3A,SDR42E1,RPL37
POU2F1,NAGA,MEX3D,SECISBP2L,RPL38
POU3F2,NAGK,MGAT4C,SEMA3E,RPL39
POU3F4,NAGLU,MGAT5,SEMA4D,RPL4
PLPP3,NAGPA,MGST3,SEMA4F,RPS16
PPARA,NAIP,MIA,SEMA5A,RPS18
PPFIA1,NAPSA,MICAL2,SEMA6A,RPS24
PPIL6,NAT1,MICU3,SEPTIN4,RPS27L
PPP1R12A,NAT9,MINPP1,SEPTIN8,RPS6KA3
PPP1R1A,NBEAL2,MKI67,SERINC2,RPS7
PPP1R3C,NCF1,MKRN3,SERPINA3,RPSA
PPP1R3D,NCF2,MLF1,SERPINB1,RRAS
PPP1R3G,NCF4,MLLT11,SERPIND1,RTP4
PPP2R2B,NCKAP1L,MME,SERPINE2,RXFP4
PPP2R5A,NCKAP5L,MMP11,SGCD,SAMD9L
PPWD1,NCOA3,MMP24,SGCZ,SAV1
PRDM16,NDST2,MN1,SGK2,SCARB1
PRDX6,NECAP2,MND1,SH3BP4,SCARF1
PREX1,NEK6,MOAP1,SH3D19,SCGB3A1
PRKD1,NEK7,MORC2,SH3GL3,SDCBP
PRKDC,NEU1,MPPED1,SH3RF1,SDCBP2
PROCA1,NEURL1,MPPED2,SHC4,CAVIN2
PRODH,NEURL3,MRAP2,SHISA7,SEC61B
PRPF38B,NFAM1,MRGBP,SHROOM2,SEC61G
PRPF39,NFATC1,MSL1,SHROOM3,SECTM1
PRPF4B,NFATC2,MST1R,SIKE1,SELE
PRRC2C,NFE2,MSTN,SIRT2,SELP
PRRX2,NFKB1,MAP1B,SI,SEMA3G
PRSS35,NFKB2,MAP6,SIX4,SEMA4C
PRSS45P,NFKBIB,MAP7D2,SLAIN1,SEMA7A
PSD2,NFKBID,MAP9,SLC12A2,SELENOP
PSPH,NFKBIE,MTFP1,SLC13A4,SEPTIN1
PTAR1,NFKBIZ,MTSS1,SLC16A8,SEPTIN10
PTCH1,NFYA,MTUS2,SLC1A1,SERPINA1
PTCH2,NHLRC3,MUC6,SLC22A23,SERPINB9
PTDSS2,NHP2,PWWP3A,SLC22A3,SERPINH1
PTN,HCAR2,MYH8,SLC22A6,SERTAD1
PTP4A1,NINJ1,MYL6B,SLC24A4,SESTD1
HACD3,NKG7,MYO5B,SLC25A13,SGMS1
HACD2,NLRC4,MYO9A,SLC27A6,SGMS2
PTPMT1,NLRP1,MYT1L,SLC35F1,SGPP2
PTPN13,NLRP3,PHF24,SLC41A2,SH3BGRL
PTPRA,NME4,NANOS1,SLC44A1,SH3BP5
PTPRF,NMT1,NANOS2,SLC45A3,SH3TC2
PTPRZ1,NOD2,NAP1L2,SLC48A1,SHE
PTX3,NOP2,NAP1L3,SLC4A1,SEM1
PXMP2,NPC2,NAPB,SLC4A8,SHROOM1
PXMP4,NPL,NASP,SLC5A11,SHROOM4
PYGB,NRAP,NBEA,SLC6A13,SIGIRR
PYROXD1,NRBF2,NCAPG,SLC6A19,SLAIN2
RAB30,NT5E,NCK2,SLCO3A1,SLC16A1
RAB34,NTPCR,NCOA2,SLITRK1,SLC16A11
RANBP3L,NUAK1,NCS1,SLITRK3,SLC16A13
RAPGEF3,NUAK2,NDN,SLITRK4,SLC16A2
RARRES1,NUMB,NDRG4,SLPI,SLC16A4
RASA2,NUP62,NDST3,SMARCB1,SLC16A9
RASGRP1,NUPR1,NDST4,SMOC1,SLC19A3
RASL11A,OAF,NDUFA1,SMTNL2,SLC22A18
RASL11B,OARD1,NDUFAF6,SMYD2,SLC22A8
RAVER2,OAS2,NEB,SNTG1,SLC23A3
RB1,OASL,NECAB1,SNX11,SLC25A20
RBM20,OLFM4,NEDD4L,SNX15,SLC25A24
RBM26,OLFML3,NEFH,SNX22,SLC2A1
RBM46,OR5V1,NEGR1,SNX25,SLC30A1
RBPMS2,OPHN1,NELL1,SNX30,SLC31A1
RCN2,ORAI1,NEUROD1,SNX32,SLC31A2
RDH5,ORAI3,NEUROD2,SORCS3,SLC35B3
RETSAT,OSBPL11,NEUROD6,SOX10,SLC35D2
RFTN2,OSGEP,NFIB,SOX3,SLC35F2
RFX4,OSGIN1,NFIX,SOX6,SLC38A11
RGMA,OSM,NGFR,SOX8,SLC38A2
RGS20,OTUD1,SLC9B2,SP7,SLC38A5
RGS22,P2RX1,NHLH1,SPA17,SLC39A10
RGS7,P2RX4,NHLH2,SPC24,SLC39A8
RHBDF1,P2RX7,NIPSNAP1,SPON1,SLC3A2
RHCG,P2RY12,NKX2-1,SPSB1,SLC40A1
RHOQ,P2RY13,NMBR,SPSB4,SLC43A3
RIIAD1,P2RY2,NNAT,SRD5A1,SLC5A5
RMND1,P2RY6,NNMT,SRPK3,SLC5A6
RNF215,PACSIN2,NOA1,SRPX2,SLC6A20
RNF24,PAOX,NOL4,SSH3,SLC6A6
ROMO1,PARP14,NOS1,SSTR1,SLC7A1
ROR2,PARVG,NOSIP,SSTR3,SLC7A5
RORB,PCTP,CCN3,ST18,SLC9A2
RSAD1,PDCD1,NOVA2,ST8SIA1,SLC9A3R2
RSPH1,PDE3B,NPAS4,STAM,SLCO1A2
RSPH9,PDGFB,NPFFR1,STEAP1,SLCO1B3
RTN3,PDLIM4,NPNT,STK32A,SLCO1C1
RUFY4,PDXK,NPPC,STK33,SLCO2A1
S1PR1,PECR,NPTX1,STK39,SLFN12L
SALL3,PEPD,NPTXR,STMN4,SLFN5
SAR1B,PES1,NPY,STRN,SLK
SARDH,PF4,NPY1R,STXBP6,SMAD6
SASH1,PFKFB3,NPY2R,SULF1,SMOC2
MSMO1,PFN1,NR1H4,SULF2,SMTN
SCARA3,PGGT1B,NR2F2,SYCE2,SNAI2
SCG3,PGPEP1,NRDE2,SYCP3,SNRK
SCP2,JADE2,NRG3,SYDE2,SNRPB2
SCTR,PHF23,NRIP3,SYNJ2,SNTB2
SEC14L2,PHKA2,NRN1,SYNPO,SNX7
SEMA3B,PHLDB3,NRSN2,SYTL5,SOD3
SEMA6D,PHYHD1,NSD1,SZT2,SOX13
SENP1,PIGV,NSF,TACC2,SOX17
SEPTIN11,PIK3AP1,NSG1,TAF9B,SOX18
SERHL2,PIK3C2A,NSG2,TBC1D14,SOX7
SFRP1,PIK3CD,NSRP1,TBC1D19,SPATA4
SFRP5,PIK3CG,NT5C1A,TBC1D22B,SPATA6
PNISR,PIK3R5,NT5DC2,TBC1D23,SPTBN1
SFXN1,PILRA,NT5DC3,TBC1D5,SPOCK2
SFXN2,PILRB,NTN5,TBC1D8,SPON2
SFXN5,PIM1,NTNG2,TBC1D9B,SRMS
SH3BGRL2,PIP4K2A,NTRK1,TBX18,SRPRA
SH3PXD2B,PKN1,NTS,TCEAL6,SSU72
SIGMAR1,PLA2G15,NTSR1,TCEAL5,ST3GAL1
SIX5,PLA2G2D,NUMBL,TCF7L2,ST3GAL6
SLC10A1,PLA2G4A,NUP35,TCFL5,ST8SIA4
SLC12A4,PLA2G4D,NXNL2,TDRD7,ST8SIA6
SLC13A1,PLAC8,NXPH2,TF,STAP2
SLC13A3,PLAGL2,NXPH3,TFEB,STARD13
SLC13A5,PLAU,NXPH4,TM7SF3,STC1
SLC14A1,PLBD1,NYX,TMCC1,STEAP4
SLC14A2,PLCB2,OCIAD2,TMCC3,STK3
SLC15A2,PLCG2,TENM1,TMEM100,STOM
SLC1A2,PLCL2,TENM4,TMEM108,STOX1
SLC1A3,PLD3,OGT,TMEM121,STRA6
SLC1A4,PLD4,OLFM1,TMEM132B,SUGT1
SLC20A1,PLEK,OLFM3,TMEM132C,SYAP1
SLC20A2,PLEKHM2,OPN3,TMEM132D,SYNJ2BP
SLC22A12,PLEKHO1,OPRD1,TMEM132E,SYT15
SLC22A4,PLEKHO2,OPRK1,TMEM151A,SYTL4
SLC25A18,PLIN2,OPRM1,TMEM163,TACR3
SLC25A21,PLOD1,OSBPL5,TMEM179,TAF7
SLC25A34,PLOD3,OSCAR,TMEM196,TAGLN2
SLC25A42,PLSCR3,OXTR,CEMIP2,TAX1BP3
SLC26A5,PLXDC1,P2RX5,TMEM200B,TBC1D1
SLC26A6,PLXDC2,PACSIN1,TMEM26,TBC1D2
SLC27A1,PLXNB2,PAK3,TMEM40,TBRG1
SLC2A10,PMEPA1,PAK6,TMEM9,TBX1
SLC2A4,PMM2,PAK5,TMF1,TBX2
SLC30A10,PMP22,PALM3,TMOD1,TBX3
SLC38A3,PNP,PANX2,TMPRSS5,TBX4
SLC39A12,PNPLA7,PAPPA2,TNFRSF13C,TBXA2R
SLC39A14,PNPO,PAQR9,TNPO1,TCEA1
SLC41A1,PON3,PARP6,TNR,TCEA3
SLC44A3,POR,PATZ1,TNS3,TCF15
SLC4A4,POU2F2,PAXBP1,TPD52L2,TCF23
SLC6A1,PPCDC,PBRM1,TPPP,TCP11L2
SLC6A11,PPP1R15A,PBX1,TPPP3,TEAD2
SLC6A9,PPP1R3B,PBX3,TPX2,TEAD4
SLC7A10,PPP6R1,PCBP3,TRAF4,TECRL
SLC7A11,PPRC1,PCDH17,TRAK2,TEK
SLC7A2,PPT1,PCDHA1,TRIM27,TNS2
SLC9A3R1,PPT2,PCDHA13,TP53INP2,TEPP
SLITRK2,SLC66A1,PCDHA2,TSGA13,TES
SMC4,PRG2,PCDHA3,TSHZ3,TFPI
SMC5,PRKCD,PCDHA4,TSPAN2,TFPI2
SMDT1,PRPS1L1,PCDHA5,TSPO2,TFRC
SMG1,PRPS2,PCDHA6,TUB,TGFB1I1
SMIM8,PSAP,PCDHA7,TUBB4A,TGFBR3
SMO,PSD4,PCDHAC2,TYW5,THBD
SMPD2,PSMB10,PCDHGC4,UBAP1,THSD1
SMYD1,PSMB8,PCGF2,UBE2J2,TIAM1
SNCAIP,PSMB9,PCP4,UBL3,TIE1
SNED1,PTAFR,PCSK1,UBR3,TIMP1
SNTB1,PTGDS,PCSK5,UCN,TINAGL1
SOAT1,PTGER1,PDCD1LG2,UGDH,TJP1
SON,PTGER4,PDE1A,UGT8,TM4SF1
SORBS1,PTGR1,PDE4A,UHRF1,TANGO6
SORCS2,PTGS1,PDE4DIP,UNC80,TMEM123
SORL1,PTK2B,PDP1,URI1,TMEM154
SOX2,PTPN1,PDXP,URM1,TMEM204
SOX21,PTPN18,PDZD2,USP16,TMEM45A
SOX9,PTPN6,PDZD4,USP24,TMEM71
SP5,PTPN7,PDZD7,USP32,TMEM88
SP6,PTPRC,PEG10,USP54,TMEM98
SPAG1,PTPRCAP,PEG3,UST,TMIGD1
SPAG8,PTPRJ,PELI3,UTP14C,TMOD3
SPAG9,PTS,PENK,VAMP1,TMOD4
SPARCL1,PUS1,PFDN1,VAT1L,TMTC2
SPATA17,PUS10,PFDN6,VCAN,TNFAIP1
SPATA18,PWWP2B,PGBD5,VIPR2,TNFAIP8L1
SPATA22,PXN,PGF,VLDLR,TNFRSF10A
SPATA3,PYCARD,PGM2L1,VMP1,TNFRSF11B
SPIRE1,PYGL,PGR,VPS13B,TNFRSF18
