Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
ATAD2B,ATP13A2,BAZ2B,C1QL3,BOK
ATF7,ATP2A3,BCL11A,C1QTNF2,BPIFB1
PGGHG,ATP5F1C,BCL11B,CACNA2D4,BSG
ATL2,ATP6V1F,BCL7A,CACNG4,BSPRY
ATP13A4,AUP1,BCL9,CADM4,BTBD7
ATP1A2,B2M,BEGAIN,CALCRL,BTF3
ATP1B2,B3GALT4,BEND6,CAMSAP2,C1QTNF9B
ATP2B4,B3GNT8,BEX1,CAPN5,C8G
ATR,B4GALNT1,BHLHE22,CAPN6,CALML4
ATXN7,B4GALT1,BLCAP,CA14,CALR3
AXIN2,B4GALT5,BMP5,CARNS1,CALU
AXL,CYBC1,BOD1,CASKIN2,CAPG
B4GAT1,TRAPPC14,BPIFA1,CASR,CAPN12
C3orf52,LRRC75A,BRD1,CCDC13,CA4
BAALC,ADGRB1,BRD2,CCDC167,CA5A
BAG3,BANK1,BRD3,CCL11,CARD10
ADGRB3,BATF,BRD7,CCNA2,CASP6
BBOX1,BATF3,BRD8,CCNB1,CASP7
BCAN,BAZ1A,BRSK1,CCND1,CASP8
BCAR3,BCAT2,BRSK2,CD70,CASQ2
BCKDHA,BCL2A1,BSN,CD9,CAST
BCL2,BCL2L1,BTBD11,CDC25C,CAV1
BCL2L12,BCL3,C1QTNF1,CDC37L1,CAV2
BCL2L15,BCO2,C1QTNF4,CDC42EP2,CCDC125
BDH2,BCOR,C2CD2L,CDC7,CCDC126
BDKRB2,BID,CIP2A,CDCA3,CCDC141
BDNF,BIK,FAM8A1,CDCA8,EFCC1
BHLHE40,BIN1,CAAP1,CDH11,BICDL2
BMPR1A,BIN2,CABP7,CDH6,CCDC85A
BMPR1B,BLNK,CABYR,CDK14,CCL19
BMS1,BLOC1S5,CACNA1A,CDK18,CCL20
BOC,BLVRA,CACNA1B,CDO1,CCNG2
BOLA3,BLVRB,CACNA1I,CDR2L,CCR10
BTAF1,BMF,CACNA2D1,CDV3,NOCT
BTBD17,BMP2K,CACNA2D2,CENPB,CD109
BTD,BRI3,CACNA2D3,CENPK,CD151
C2CD4B,BTG1,CACNB2,CENPM,CD248
C4A,BTG2,CACNB3,CENPN,CD27
CA3,BTK,CACNB4,CENPV,CD2AP
CA5B,C1QA,CACNG2,CERS2,CD300LG
CAMK2G,C1QB,CACNG3,CETN2,CD320
CAP2,C1QC,CACNG5,CHADL,CD34
CAPN11,C1RL,CADM3,CHAF1A,CD40
CAPNS1,C2,CADPS,CHD1,CD55
CAPS2,C3,CADPS2,CHDH,CD69
CAPSL,C3AR1,CALB1,CHN2,CD93
CAPZB,C5AR1,CALB2,CHPT1,ADGRE5
CA8,CABLES1,CALCB,CHRM1,CDC42EP3
CASKIN1,CACNA1S,CALN1,CHRNA4,CDC42EP5
CASP8AP2,CACUL1,CALY,CHRNE,CDH5
CAT,CALHM2,CAMK2A,CHST11,CDHR4
CATSPER2,CAMK1,CAMK2B,CHST3,CDK1
CBLB,CAMP,CAMK2N2,CHST6,CDKN2A
CBR3,CAP1,CAMK4,CHST8,CDKN2B
CBS,CAPN1,CAMKV,CHTF18,CDKN3
CBX5,CAPN3,CAMSAP1,CKAP2,CEBPD
KYAT3,CAPZA1,CAMTA1,CKAP2L,CFI
CFAP65,CA13,CASD1,CLDN11,CGNL1
CCDC113,CARD11,CASP2,CLDN14,CHEK2
CCDC121,CARD9,CASP3,CLEC3B,CHIC2
CCDC138,CASP1,CASZ1,CLGN,CHMP2B
CCDC157,CASP4,CBLN1,CMIP,CHRNB1
CCDC18,CASS4,CBLN2,CMTM4,CHST9
CCDC3,CCDC186,CBLN4,CMTM5,CISH
CFAP100,CCDC22,CBX2,CNKSR3,CKS1B
CCDC60,CCDC86,CBX4,CNP,CKS2
DEUP1,CCDC88B,CBX6,CNTN1,CLCA2
CCDC80,CCDC93,CBX7,CNTN2,CLDN5
CENATAC,CCDC97,CC2D1A,CNTN4,CLDN6
CCDC88C,CCL2,CCBE1,CNTN6,CLEC14A
CCDC90B,CCL17,MCUB,COBL,CLEC1A
CCDC96,CCL13,CCDC116,COL11A2,CLEC1B
CCNA1,CCL22,CCDC120,COL12A1,CLEC9A
CCND2,CCL24,CCDC148,COL13A1,CLIC5
CCNO,CCL3L3,CCDC152,COL1A1,CLIC6
CD247,CCL4,CCDC177,COL1A2,CLINT1
CD38,CCL5,CEP112,COL20A1,CMTM8
CD44,CCR1,CCDC6,COL2A1,CNN2
CDC42EP1,CCR2,BICDL1,COL3A1,CNOT6L
CDC42EP4,CCR3,CCDC71L,COL9A3,COBLL1
CDH2,CCR5,CCDC73,COLEC11,COL14A1
CDK11A,CCR6,CCDC85C,CORIN,COL18A1
CDK5RAP2,CCR7,CCK,CP,COL28A1
CECR2,CCRL2,CCL27,CPOX,COL4A1
HDHD5,CD101,CCNF,CPZ,COL4A2
CELSR1,CD14,CCNT1,CRCP,COL4A3
CCP110,CD163,CCSAP,CREG2,COX4I2
CEP350,CD164,CD164L2,CRYAB,COX7B
CHD2,CD180,CD200,CSMD3,CPA1
CHD6,CD19,CD274,CSPG4,CR1L
CHD9,CD2,CD2BP2,CSPG5,CREM
CHRDL1,CD200R1,CDC40,CSRP1,CRISPLD1
CHST1,CLEC4M,CDH12,CTNNA3,CRK
CHST2,CD22,CDH18,CTNNAL1,CRTAP
CHSY1,CD300A,CDH4,CYFIP2,CRYBB3
CIDEB,CD300LB,CDH7,CYP2J2,CRYBG3
CKAP5,CD300LD,CDH8,CYS1,YBX3
CLCC1,CD300LF,CDH9,C10orf90,CSF3
CLDN10,CD37,CDHR1,DAPK2,CSRP2
CLDN20,CD3D,CDK13,BRINP1,CTHRC1
CLEC16A,CD3E,CDK2AP1,DBNDD2,CTNNA1
CLK2,CD4,CDK5R1,DCAF12L2,CTNNB1
CLU,CD48,CDK5R2,DCN,CTSW
CLYBL,CD5,CDKL1,DCT,CTTNBP2NL
CMBL,CD53,CDKL2,DDC,CUTC
NAT8B,CD6,CDKL4,DDX25,CXCL2
CNN1,CD63,CDKN1B,DDX43,CXCR4
CNN3,CD68,CDON,DDX59,CYP39A1
CNTD1,CD7,CEACAM16,DENND2A,CYP8B1
CNTFR,CD72,CELF3,DERL3,CYSLTR2
COL4A5,CD74,CELF4,GSDME,CYTL1
COPRS,CD79A,CELF5,DGAT1,CYYR1
CORO2B,CD79B,CELSR2,DHCR24,LURAP1L
COX10,CD80,CELSR3,DHRS13,DAB2
COX6B1,CD83,CEND1,DICER1,DAPL1
CPE,CD84,CENPC,DLG1,DBH
CPM,CD86,CEP104,DLGAP5,DCBLD1
CPT1A,CD8B,CEP120,DLK2,DDI2
CPT2,CD99L2,CEP170,DLL1,DDX10
CRB2,CDCA4,CGGBP1,DLL3,DDX58
CREB3L4,CDH23,CGN,DMRTA1,DEF6
CROT,CDK6,CGREF1,DNAH10,DEGS2
CRTC3,CDS1,CHAC1,DNAH5,DENND2C
CRYM,CDT1,CHAF1B,DNAH7,DENND3
CSDC2,CEBPA,CHAMP1,DNAI2,DENND5B
CSGALNACT1,CEBPB,CHAT,DNAJA4,DERA
CSPP1,CEP250,CHCHD10,DNAJB2,DES
CTBP2,CERK,CHD3,DNM3,DGKA
CTDSPL,CFH,CHD5,DOCK3,DGKH
CTH,CFP,CHD7,DOCK5,DHX40
CTNNBIP1,CH25H,CHD8,DOCK6,DLC1
CTNND2,CHMP1B,CHGB,DOCK9,DLL4
CUL7,CHST12,CHN1,DOHH,DMGDH
CWC22,CHST7,CHODL,DPH5,DNAH6
CWF19L2,CIB1,CHRM3,DPP10,DNAJC10
CYBRD1,CILP2,CHRM4,DPP6,DNAJC2
CYP1B1,CKM,CHRM5,DPYD,DNASE1L1
CYP4F12,CLCF1,CHRNA3,DSCC1,DNMT3B
CYP4F8,CLCN5,CHRNA7,DTD1,DOK4
CYP7B1,CLEC10A,CHRNB2,DUSP15,DPP4
