Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
ALDOC,ARAP3,ARHGAP36,AQP3,APOA1
ALMS1,ARFGEF2,ARHGAP44,ARFGEF3,APOL2
ALPK1,ARG1,ARHGDIG,ARHGAP31,APOLD1
ALPK3,ARGLU1,ARID1B,ARHGEF10,APOOL
ALPL,ARHGAP17,ARID2,ARHGEF10L,AQP11
ALS2CL,ARHGAP19,ARID4B,ARHGEF37,ARHGAP18
AMER2,ARHGAP22,ARL13B,ARL2,ARHGAP28
AMIGO3,ARHGAP25,ARMC2,ARL2BP,ARHGAP29
AMOT,ARHGAP27,ARMCX1,ARSG,ARHGEF15
AMPD2,ARHGAP30,ARMCX4,ARSJ,ARHGEF5
AMT,ARHGAP39,ARMCX5,ASB13,ARID5A
ANKRD16,ARHGAP4,ARX,ASB18,ARL4A
ANKRD40,ARHGAP9,ASB3,ASCL1,ARMC10
ANKRD9,ARHGDIA,ASGR1,ASNS,ARPC3
ZFAND4,ARHGDIB,ASS1,ASPA,ART3
ANXA9,ARHGEF6,ATAD5,ASPDH,ASB4
AOX1,ARID3A,ATF2,ATG101,ASCC3
AP4E1,ARID3B,ATG9B,ATP10B,ASPN
APOE,ARL11,ATL1,ATP2B3,ATOX1
APPL2,ARL4C,ATN1,ATP6V0A2,ATP10A
AQP4,ARL5C,ATP1A3,ATP7B,ATP11C
AQP9,ARMC3,ATP2B1,ATRN,ATP13A5
ARAP2,ARMC5,ATP2B2,B3GALT5,ATP7A
ARHGAP21,ARMC7,ATP6V0A1,B3GAT2,AVPI1
ARHGAP32,ARPC1B,ATP6V1G2,B3GNT6,B3GNT2
ARHGAP42,ARPC4,AURKB,B3GNT7,HELZ2
ARHGAP5,ARPC5,AUTS2,NMRK1,GINM1
ARHGEF12,ACTRT3,AVP,HROB,CCM2L
ARHGEF18,ARRB1,B3GALT1,BACE1,C1orf54
ARHGEF26,ARRB2,B3GALT2,BBS7,BAG2
ARHGEF33,ARSB,B3GNT4,BCAR1,BAMBI
ARID4A,AS3MT,B4GALNT4,BCAS1,BCAM
ARL9,ASB10,B4GALT6,BFSP2,BCHE
ARNT2,ASB2,PRR36,BGLAP,BCL10
ARNTL,ASCC1,SELENOV,BHLHB9,BCL6B
ARNTL2,ASCL2,BAG4,BMP4,BEND5
ARRDC3,ASGR2,BAIAP2L2,BPGM,BEST1
ASPG,ASL,BAIAP3,BRCA1,BGN
ASTE1,ASPH,BARHL2,BVES,BMPR2
ASXL2,ATF3,BASP1,C1QL1,BMX
ATAD2B,ATP13A2,BAZ1B,C1QL2,BNIP2
ATF7,ATP2A3,BAZ2B,C1QL3,BNIP3L
PGGHG,ATP5F1C,BCL11A,C1QTNF2,BOK
ATL2,ATP6V1F,BCL11B,CA10,BPIFB1
ATP13A4,AUP1,BCL7A,CACNA2D4,BSG
ATP1A2,B2M,BCL9,CACNG4,BSPRY
ATP1B2,B3GALT4,BEGAIN,CADM4,BTBD7
ATP2B4,B3GNT8,BEND6,CALCRL,BTF3
ATR,B4GALNT1,BEX1,CAMSAP2,C1QTNF9B
ATXN7,B4GALT1,BHLHE22,CAPN5,C8G
AXIN2,B4GALT5,BLCAP,CAPN6,CALML4
AXL,CYBC1,BMP5,CA14,CALR3
B4GAT1,TRAPPC14,BOD1,CA2,CALU
C3orf52,LRRC75A,BPIFA1,CARNS1,CAPG
BAALC,ADGRB1,BRD1,CASKIN2,CAPN12
BAG3,BANK1,BRD2,CASR,CA4
ADGRB3,BATF,BRD3,CCDC13,CA5A
BBOX1,BATF3,BRD7,CCDC167,CARD10
BCAN,BAZ1A,BRD8,CCL11,CASP6
BCAR3,BCAT2,BRSK1,CCNA2,CASP7
BCKDHA,BCL2A1,BRSK2,CCNB1,CASP8
BCL2,BCL2L1,BSN,CCND1,CASQ2
BCL2L12,BCL3,BTBD11,CD70,CAST
BCL2L15,BCO2,C1QTNF1,CD9,CAV1
BDH2,BCOR,C1QTNF4,CDC25C,CAV2
BDKRB2,BID,C2CD2L,CDC37L1,ACKR4
BDNF,BIK,CIP2A,CDC42EP2,CCDC125
BHLHE40,BIN1,FAM8A1,CDC7,CCDC126
BMPR1A,BIN2,CAAP1,CDCA3,CCDC141
BMPR1B,BLNK,CABP7,CDCA8,EFCC1
BMS1,BLOC1S5,CABYR,CDH11,BICDL2
BOC,BLVRA,CACNA1A,CDH6,CCDC85A
BOLA3,BLVRB,CACNA1B,CDK14,CCL19
BTAF1,BMF,CACNA1I,CDK18,CCL20
BTBD17,BMP2K,CACNA2D1,CDO1,CCNG2
BTD,BRI3,CACNA2D2,CDR2L,CCR10
C2CD4B,BTG1,CACNA2D3,CDV3,NOCT
C4A,BTG2,CACNB2,CENPB,CD109
CA2,BTK,CACNB3,CENPK,CD151
CA3,C1QA,CACNB4,CENPM,CD248
CA5B,C1QB,CACNG2,CENPN,CD27
CAMK2G,C1QC,CACNG3,CENPV,CD2AP
CAP2,C1RL,CACNG5,CERS2,CD300LG
CAPN11,C2,CADM3,CETN2,CD320
CAPNS1,C3,CADPS,CHADL,CD34
CAPS2,C3AR1,CADPS2,CHAF1A,CD40
CAPSL,C5AR1,CALB1,CHD1,CD55
CAPZB,CABLES1,CALB2,CHDH,CD69
CA8,CACNA1S,CALCB,CHN2,CD93
CASKIN1,CACUL1,CALN1,CHPT1,ADGRE5
CASP8AP2,CALHM2,CALY,CHRM1,CDC42EP3
CAT,CAMK1,CAMK2A,CHRNA4,CDC42EP5
CATSPER2,CAMP,CAMK2B,CHRNE,CDH5
CBLB,CAP1,CAMK2N2,CHST11,CDHR4
CBR3,CAPN1,CAMK4,CHST3,CDK1
CBS,CAPN3,CAMKV,CHST6,CDKN2A
CBX5,CAPZA1,CAMSAP1,CHST8,CDKN2B
KYAT3,CA13,CAMTA1,CHTF18,CDKN3
CFAP65,CARD11,CA10,CKAP2,CEACAM1
CCDC113,CARD9,CASD1,CKAP2L,CEBPD
CCDC121,CASP1,CASP2,CLDN11,CFI
CCDC138,CASP4,CASP3,CLDN14,CGNL1
CCDC157,CASS4,CASZ1,CLEC3B,CHEK2
CCDC18,CCDC186,CBLN1,CLGN,CHIC2
CCDC3,CCDC22,CBLN2,CMIP,CHMP2B
CFAP100,CCDC86,CBLN4,CMTM4,CHRNB1
CCDC60,CCDC88B,CBX2,CMTM5,CHST9
DEUP1,CCDC93,CBX4,CNKSR3,CISH
CCDC80,CCDC97,CBX6,CNP,CKS1B
CENATAC,CCL2,CBX7,CNTN1,CKS2
CCDC88C,CCL17,CC2D1A,CNTN2,CLCA2
CCDC90B,CCL13,CCBE1,CNTN4,CLDN5
CCDC96,CCL22,MCUB,CNTN6,CLDN6
CCNA1,CCL24,CCDC116,COBL,CLEC14A
CCND2,CCL3L3,CCDC120,COL11A2,CLEC1A
CCNO,CCL4,CCDC148,COL12A1,CLEC1B
ACKR4,CCL5,CCDC152,COL13A1,CLEC9A
CD247,CCR1,CCDC177,COL1A1,CLIC5
CD38,CCR2,CEP112,COL1A2,CLIC6
CD44,CCR3,CCDC6,COL20A1,CLINT1
CDC42EP1,CCR5,BICDL1,COL2A1,CMTM8
CDC42EP4,CCR6,CCDC71L,COL3A1,CNN2
CDH2,CCR7,CCDC73,COL9A3,CNOT6L
CDK11A,CCRL2,CCDC85C,COLEC11,COBLL1
CDK5RAP2,CD101,CCK,CORIN,COL14A1
CECR2,CD14,CCL27,CP,COL18A1
HDHD5,CD163,CCNF,CPOX,COL28A1
CELSR1,CD164,CCNT1,CPZ,COL4A1
CCP110,CD180,CCSAP,CRCP,COL4A2
CEP350,CD19,CD164L2,CREG2,COL4A3
CHD2,CD2,CD200,CRYAB,COX4I2
CHD6,CD200R1,CD274,CSMD3,COX7B
CHD9,CLEC4M,CD2BP2,CSPG4,CPA1
CHRDL1,CD22,CDC40,CSPG5,CR1L
CHST1,CD300A,CDH12,CSRP1,CREM
CHST2,CD300LB,CDH18,CTNNA3,CRISPLD1
CHSY1,CD300LD,CDH4,CTNNAL1,CRK
CIDEB,CD300LF,CDH7,CYFIP2,CRTAP
CKAP5,CD37,CDH8,CYP2J2,CRYBB3
CLCC1,CD3D,CDH9,CYS1,CRYBG3
CLDN10,CD3E,CDHR1,C10orf90,YBX3
CLDN20,CD4,CDK13,DAPK2,CSF3
CLEC16A,CD48,CDK2AP1,BRINP1,CSRP2
CLK2,CD5,CDK5R1,DBNDD2,CTHRC1
CLU,CD53,CDK5R2,DCAF12L2,CTNNA1
CLYBL,CD6,CDKL1,DCN,CTNNB1
CMBL,CD63,CDKL2,DCT,CTSW
NAT8B,CD68,CDKL4,DDC,CTTNBP2NL
CNN1,CD7,CDKN1B,DDX25,CUTC
CNN3,CD72,CDON,DDX43,CXCL2
CNTD1,CD74,CEACAM16,DDX59,CXCR4
CNTFR,CD79A,CELF3,DENND2A,CYP39A1
COL4A5,CD79B,CELF4,DERL3,CYP8B1
COPRS,CD80,CELF5,GSDME,CYSLTR2
CORO2B,CD83,CELSR2,DGAT1,CYTL1
COX10,CD84,CELSR3,DHCR24,CYYR1
COX6B1,CD86,CEND1,DHRS13,LURAP1L
CPE,CD8B,CENPC,DICER1,DAB2
CPM,CD99L2,CEP104,DLG1,DAPL1
CPT1A,CDCA4,CEP120,DLGAP5,DBH
CPT2,CDH23,CEP170,DLK2,DCBLD1
CRB2,CDK6,CGGBP1,DLL1,DDI2
CREB3L4,CDS1,CGN,DLL3,DDX10
CROT,CDT1,CGREF1,DMRTA1,DDX58
CRTC3,CEACAM1,CHAC1,DNAH10,DEF6
CRYM,CEBPA,CHAF1B,DNAH5,DEGS2
CSDC2,CEBPB,CHAMP1,DNAH7,DENND2C
CSGALNACT1,CEP250,CHAT,DNAI2,DENND3
CSPP1,CERK,CHCHD10,DNAJA4,DENND5B
CTBP2,CFH,CHD3,DNAJB2,DERA
CTDSPL,CFP,CHD5,DNM3,DES
CTH,CH25H,CHD7,DOCK3,DGKA
CTNNBIP1,CHMP1B,CHD8,DOCK5,DGKH
CTNND2,CHST12,CHGB,DOCK6,DHX40
CUL7,CHST7,CHN1,DOCK9,DLC1
CWC22,CIB1,CHODL,DOHH,DLL4
CWF19L2,CILP2,CHRM3,DPH5,DMGDH
CYBRD1,CKM,CHRM4,DPP10,DNAH6
CYP1B1,CLCF1,CHRM5,DPP6,DNAJC10
CYP4F12,CLCN5,CHRNA3,DPYD,DNAJC2
CYP4F8,CLEC10A,CHRNA7,DSCC1,DNASE1L1
CYP7B1,CLEC12A,CHRNB2,DTD1,DNMT3B
CCN1,ZNF705A,CHRNB4,DUSP15,DOK4
ZNF267,CLEC4A,CHSY3,DUSP9,DPP4
DAAM2,CLEC4D,CIB2,DYNC2LI1,DRAM2
DAG1,CLEC4E,CIDEA,DYNLL2,DTX3L
DAGLA,CLEC6A,CILP,E2F8,DUSP22
DBI,CLEC5A,CIRBP,ECT2,DUSP23
DBX2,CLEC7A,CIT,EDA2R,DUSP6
DCLK1,CLIC1,CITED2,EFCAB1,DYSF
DCLK2,CLN3,CKMT1B,EFEMP1,E2F7
DCTN1,CLN5,CLCN1,EFHD1,EBF1
DDB2,CLN8,TMEM114,EFNB3,ECE1
DDHD1,CLTA,CLDN3,EFR3B,ECM1
DDIT4L,CMKLR1,CLK4,EFS,ECM2
DDO,CMTM3,CLRN1,EHD3,ECSCR
DDR2,CMTM6,CLSTN1,EIF1B,EDN3
DDT,CMTM7,CLSTN2,ELFN2,EEF1A1
DECR1,CNDP2,CLSTN3,ELOVL4,EFNA1
DENND4C,CNPY3,CLVS1,ELOVL6,EGFL7
DGKB,COL27A1,CLVS2,EMB,EGFL8
DHCR7,CERT1,CMSS1,EME1,EGFLAM
DHRS1,COL6A3,CNFN,EMID1,EHD2
DHRS4,COLGALT1,CNGA3,COL26A1,EIF3E
DHTKD1,COMMD5,CNIH2,EMILIN3,EIF3H
DHX32,COMP,CNIH3,EML1,EIF3M
DIO2,COMT,CNKSR2,ENDOD1,ELF1
DLG5,COMTD1,CNNM1,ENPP2,ELK3
DLGAP1,CORO1A,CNR1,ENPP6,ELK4
DLK1,CORO2A,CNRIP1,EPB41L2,ADGRL4
DMD,COTL1,CNST,EPB41L1,EMCN
DMP1,COX6A2,CNTN3,EPB41,EMP1
DNAI1,CPN1,CNTN5,EPB41L3,ENDOU
DNAJC25,CPQ,CNTNAP1,EPCAM,ENG
DNALI1,CRADD,CNTNAP2,EPN2,ENOX2
DOCK1,CREG1,CNTNAP3,SELENOI,ENPEP
DPF3,CRIP1,CNTNAP4,ERMN,ENPP3
DPY19L3,CRY1,CNTNAP5,ETNK2,EPAS1
DRP2,CRYBA4,COCH,ETV1,EPHB4
DTNA,CRYBB1,COL19A1,EXO1,EPOR
DYNC2H1,CRYL1,COL23A1,EXOG,EPS8L2
DYNLRB2,CSF1,COL24A1,EXTL1,ERG
DZIP1L,CSF1R,COL25A1,EXTL2,ERICH1
ECH1,CSF2,COL6A2,FA2H,ESAM
ECHDC1,CSF2RB,CORT,FAH,ESM1
ECHDC2,CSF3R,COX7A1,FAM114A1,ESYT1
ECHDC3,CSK,CPEB1,FAM122A,ESYT2
ECI2,CST3,CPEB3,FAM149A,KIAA1217
EDIL3,CST7,CPLX1,FAM163A,ETS1
EDNRB,CSTB,CPLX2,FAM169A,ETS2
EEA1,CTBS,CPNE4,FAM178B,EXOC3L1
EEPD1,CTDNEP1,CPNE5,FAM180A,EXOC5
EFNA4,CTLA4,CPNE6,INSYN2B,EXOC6
EGF,CTNS,CPNE7,TAFA4,F2R
EGFL6,CTSA,CPNE9,CALHM5,F2RL1
EGFR,CTSB,CRABP1,FAM3C,F2RL3
EHBP1,CTSC,CRABP2,TLCD3A,F5
EHHADH,CTSD,CRH,CCNQ,UBALD2
EIF4G3,CTSE,CRHBP,BRINP3,RFLNA
ELMO2,CTSF,CRHR2,MINDY1,RFLNB
ELMO3,CTSH,CRMP1,TMEM255A,FAM111A
ELOVL2,CTSV,CSNK1E,TMEM255B,TCAF2
ELOVL5,CTSS,CSRNP2,MIGA1,FAM124B
EMP2,CTSZ,CSTF2T,FAM89A,NIBAN1
ENKUR,CX3CR1,CTCF,FANCA,FAM162B
ENTPD2,CXCL10,CTIF,FANCD2,EVA1B
EPB41L5,CXCL16,CTXN2,FAR1,GASK1B
EPHB3,CXCL3,CX3CL1,FBLN7,PIEZO2
EPHX2,CXCR3,CXCL12,FBN1,FAM43A
ERBB2,CXCR5,CXXC4,FBXO17,NXPE2
ERBIN,CYB5R1,CYB561,FBXO36,RIPOR1
ETAA1,CYBA,CYGB,FBXO7,FAM71A
ETFA,CYB561A3,CYP2S1,FCHSD2,FAM71F2
ETFDH,CYBB,CYP46A1,FEM1B,EEF2KMT
EVC,CYFIP1,CYP4B1,FEZ1,FAP
EVC2,CYP4F2,CYP4X1,FGF22,FAR2
EVI5,CYP4V2,NREP,FHL2,FBLN5
EXD1,CYSLTR1,ARFGEF3,FIGNL1,FBXL12
EZR,CYTH4,PLPPR4,FKBP1A,FBXL8
F3,CYTIP,DAB2IP,FMNL2,FCHO2
FABP5,PHF11,DACH1,FNTA,FEM1C
FABP7,LDLRAD4,DACT1,FNTB,FERMT2
FADS2,M1AP,DAPK1,FOXM1,FGD5
FAM117A,C19orf53,ACKR1,FRMD4A,FGFBP1
FAM120C,PRAG1,DAXX,FRMD5,FGFR4
FAM135A,DAGLB,DBN1,FRMD7,FILIP1
FAM13C,DCXR,DBNDD1,FRYL,FILIP1L
FAM168A,INTS6L,DCAF7,FSD1,FKBP10
FAM171B,DDX31,DCK,FYN,FKBP7
FAM181A,DENND1C,DCLK3,G0S2,FKBPL
FAM181B,DENND4B,DCP1A,GAB1,FLI1
FAM184A,DEPDC7,DCX,GABRA3,FLNA
MCRIP2,DGKD,DEPTOR,GALE,FLNB
GASK1A,DGKZ,DGKE,GALNT10,FLRT2
FAM20A,DHDH,DGKG,GALNT13,FLT1
PRXL2A,DHRS3,DGKK,GALNT3,FLT4
NXPE4,DHX34,DHX57,GALNT6,FN1
GAREM1,DHX58,DIABLO,GALNT16,FOXC1
GAREM2,DMXL1,DIRAS1,GAMT,FOXF1
FAM76B,DNAJB13,DIRAS2,GAS2,FOXF2
FAM83B,DNAJC1,DISP2,GBP6,FOXL2
FARS2,DNAJC13,DKKL1,GFOD1,FOXQ1
FAT1,DNASE1L3,DLG2,GFOD2,FREM1
FBP2,DNASE2,DLG3,GFRA1,FRK
FBXL21P,DNM2,DLGAP2,GFRA2,FRMD4B
FBXO2,DNTTIP1,DLX1,GGCT,FUT4
FDFT1,DOCK2,DLX2,GJB1,TIMM10B
FGA,DOCK8,DLX5,GJC3,FXYD5
FGD4,DOK1,DLX6,GLRA4,FZD4
FGD6,DOK2,DMRT3,GLRB,FZD6
FGF1,DOK3,DMRTA2,GLTP,G6PC
FGF2,DPP7,DMXL2,NOP53,GABPB1
FGFBP3,DQX1,DNAH1,GMDS,GADD45A
FGFR1,DTNBP1,DNAJB6,GNA12,GALNT15
CEP43,DTX4,DNAJC27,GNAT1,GALNT18
FGFR2,DUOXA1,DNAJC6,GNB4,GATA2
FGFR3,DUSP29,DNAJC9,GNE,GATA3
FHL1,DUSP1,DNER,GNG12,GBE1
FICD,DUSP13,DNM1,GNG13,GBP2
VEGFD,DUSP2,DNMT3A,GNG8,GBP5
FJX1,STYXL2,DOC2A,GNPTAB,GBP6
FKBP9,DUSP5,DOC2B,GNPTG,GCHFR
FLNC,DVL2,DPYSL3,GP1BB,GCNT2
FLOT2,DYRK2,DPYSL5,GPATCH11,MYZAP
FMN2,DYRK4,DRD1,GPR158,GDPD3
FMO1,E2F2,DRD2,GPR17,GIMAP1
FMO4,RNASE2,DRD5,GPR37,GIMAP4
FNDC5,EBI3,DSG1,GPR62,GIMAP1-GIMAP5
FOS,EDEM1,DSP,GPR75,GIMAP6
FOSB,EDEM2,DUSP14,GPRC5B,GIMAP8
FOXR2,EEF2K,DUSP4,GPT2,GIPC3
FOXRED1,EFHD2,DUSP8,GRB14,GJA4
FRAS1,EFR3A,DUT,GRHPR,GJA5
FREM2,EGR1,DYNC1I1,GRIA3,GJC1
FRMPD1,EGR2,DZANK1,GRIK3,GLIPR2
CMTR2,EGR3,EBF2,GRIK4,GLYATL3
FUT9,EHD1,EBF3,GRIN3A,GMNN
FXYD1,EHD4,ECEL1,GRXCR2,GNG11
FZD10,EID3,EEF1A2,PPP1R17,GNG5
FZD2,EIF4EBP1,EFCAB6,GSN,GOLIM4
GABBR1,ELF4,EFHC2,GSS,GPCPD1
GABBR2,ELMO1,EFNA3,GSTP1,ADGRF5
GABPB2,EML3,EFNA5,GSX1,ADGRA2
GABRA4,EMP3,EHMT1,GSX2,ADGRG6
GABRB1,ADGRE1,EHMT2,GTF2H4,GPR143
GABRG1,ENGASE,EIF2AK3,GUCY2F,SLC52A2
GADD45G,ENO3,EIF4ENIF1,HAPLN2,GPER1
GALNT4,ENPP4,ELAVL2,HCN2,GPR4
GAS1,ENTPD1,ELAVL4,HEATR3,ADGRG3
GCDH,EPDR1,ELF2,HHATL,GPRC5A
GCNT4,EPN1,ELMOD1,HIF1AN,TAMALIN
GCSH,EPSTI1,EMC9,HIP1,GRB10
GDPD2,EPX,EML5,HIP1R,GRB7
GFAP,ERAP1,EMSY,H2AC16,C12orf57
GJA1,ERMAP,EMX2,H2BC10,GRK5
GJB6,ERP29,ENO2,H2BC6,GRP
GLB1L,ESR1,ENOX1,H2BC17,FAM110D
GLDC,ETV3,ENTPD3,H4C6,GSTM1
GLI1,EVI2B,EOMES,H4C9,GSTT2
GLI2,EVL,EP400,H4-16,GTF2E2
GLI3,F11R,DMTN,H2AC18,GYPC
GLIS3,F13A1,EPB41L4B,H2AC20,HLA-A
GLUD1,F9,EPC2,HOXD1,HAUS1
GNAO1,FADD,EPHA10,HPCAL4,HBP1
GOLGB1,FCMR,EPHA3,HR,HDAC7
GPAM,OTULINL,EPHA6,PLAAT1,HEG1
GPATCH2,OTULIN,EPHA7,HS3ST1,HEPH
GPC4,FAM110A,EPHA8,HTR5A,HHEX
GPC6,FAM167B,EPHB2,HYPK,HIC1
GPD2,EVA1A,EPHB6,IBSP,HIGD1B
GPM6A,CALHM6,EPM2AIP1,CILK1,H2AC4
GPM6B,FAM3A,ERC2,IFFO1,H3C13
GPR156,TENT5B,ERI1,IFIT2,HMCN1
GPR179,TENT5C,ERO1B,IGF2,HMG20B
GPR19,CYRIB,ESRRG,IGSF8,HMGCS2
GPR3,FAM78A,EXOSC4,IGSF9B,HOPX
GPR37L1,FAM83G,EYA2,IL17D,HPRT1
PTGDR2,FBLIM1,EZH2,IL17RB,HSD3B7
ADGRG1,FBRS,FABP3,IL1RAP,HSF4
GPR63,FBXW4,RAMAC,IMP4,HSPA12B
GPRC5D,FCER1G,TCAF1,INF2,HSPB1
GPT,FCGR1A,FAM117B,INHBC,HSPB2
GPX8,FCGR2B,FAM120B,INPP5B,HSPB8
GRAMD4,FCGR2A,AMER3,INPPL1,HSPG2
GREB1,FCGR3A,FAM131A,INSC,HTR2A
GRHL1,FCGRT,FAM131C,IQCJ,HTRA3
GRIN2C,FCRL1,C1QTNF12,IRX1,HYAL2
GRM3,FERMT3,ALKAL2,ISG20,ICAM2
GRM5,FES,SHISAL2B,ITGA8,IER5L
GSG1L,FEZ2,FAM163B,ITGAD,IFI44
GSTK1,FGD2,FAM171A2,ITGAV,IFIH1
GSTM5,FGR,FAM185A,ITGB4,IFITM2
GSTM3,FHL3,FAM189B,ITGB7,IFITM3
GSTZ1,FIGNL2,INSYN2A,ITGB8,LMNTD1
GUCY1A1,FKBP5,FAM43B,ITIH2,IFNAR1
GULP1,FLCN,TLCD3B,ITIH5,IGBP1
LARGE2,FMNL3,RIPOR2,ITPR2,IGF1R
GYS1,FNDC7,FAM71E1,JAM3,IGFBP1
HACL1,FNIP2,FAM78B,JMY,IGFBP7
HADH,FOLR2,FAM89B,JOSD2,IGSF5
HADHA,FOXP4,FANK1,KANK1,IL13RA1
HAPLN1,FPR1,FASTKD5,KATNAL1,IL15
HECTD2,FPR2,FAT2,KAZN,IL17RC
HEPACAM,FRRS1,FAT3,KBTBD7,IL17RE
HERC6,FSCN1,FBXL16,KCND2,IL1R1
HES5,FTL,FBXL19,KCNH8,IL20RB
HEY2,FUCA1,FBXL2,KCNIP3,IL27RA
HGF,FURIN,FBXO30,KCNJ16,IL2RG
HHIPL1,FYB1,FBXO41,KCNK1,IL3RA
HIF3A,G3BP1,FCHSD1,KCNK10,IL6
HIGD1A,GAB2,FGF13,KCNMB4,IMPDH1
H3C4,GABRD,FGF9,KCTD13,INSL3
H3C11,GADD45B,FIBCD1,KCTD15,INSR
HMGCR,GAL3ST4,FIBIN,KCTD4,IPMK
HMGN1,GALK2,FKBP11,KHDRBS2,IQCG
HOGA1,GALM,FKBP1B,KIAA1549,IQGAP1
RIDA,GALNS,FKBP3,KIF13A,IRF7
HS3ST3A1,GALNT12,FLRT3,KIF13B,IRF9
HS3ST3B1,GALT,FLYWCH1,KIF18B,IRX3
HSD11B1,GANC,FLYWCH2,KIF19,ISM1
HSPA2,GAS6,FMN1,KIF2C,ISYNA1
HTRA1,GATM,FNBP4,KIF5A,ITGA1
ID3,GBA,FNDC3B,KIFC1,ITGA2B
ID4,GBGT1,FOXG1,KL,ITGA4
IDI1,GBP7,FOXJ3,KLC3,ITGB1
IFT122,GCN1,FOXK2,KLHDC4,ITGB3BP
IFT140,GCNT1,FOXO3,KLHL13,ITM2A
IGDCC4,GDF15,FOXO6,KLK6,ITPR1
IGF2BP3,GDPGP1,FRAT1,KNDC1,ITPRIP
IGFBP2,GGA2,FRMPD3,KNTC1,ITSN2
IGFBP5,GGH,FRMPD4,KRT1,JAG1
IGSF1,GGT5,FSIP1,KRT17,JAG2
IKBIP,GIMAP1-GIMAP5,FSTL4,AFG1L,JAK2
IL15RA,GIT2,FUT7,LAD1,AJUBA
IL17RD,GLA,FXYD7,LARP6,KANK3
